recipe_id,recipe_name,receipe_alt_name,instructions,section id,section_name,ingrediant_row_id,ingrediant_id,ingrediant_name,ingrediant_qty,measure_unit,pack_type,pack_qty,to_order_unit_qty
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,4,רוטב,514,100,פרמז׳ן,20,גרם,במשקל,50,0.4
36,פטוצ׳יני חציר וקש,,tbd,1,מתכון,523,100,פרמז׳ן,20,גרם,במשקל,50,0.4
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,1,מתכון,544,100,פרמז׳ן,20,גרם,במשקל,50,0.4
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,2,הגשה,548,100,פרמז׳ן,20,גרם,במשקל,50,0.4
8,ביצים בנוסח פלורנטין,,tbd,2,בורנאי: בשמל + פרמז׳ן,99,100,פרמז׳ן,30,גרם,במשקל,30,1
12,סלט ירוק עם ויניגרט עשבים,,tbd,1,מתכון,142,100,פרמז׳ן,50,גרם,במשקל,50,1
14,קיש לוריין,Quiche Lorraine,tbd,3,מלית,181,100,פרמז׳ן,50,גרם,במשקל,50,1
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,3,מלית,508,100,פרמז׳ן,50,גרם,במשקל,50,1
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,1,רוטב,235,101,פרנו/פסטיס,1,כפית,בקבוק,750,0.001333333333
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,458,159,צ׳וריסו / צ׳ובאי,30,גרם,אריזה,150,0.2
5,"מרק קוקוס, גלנגל ועוף",Tom Ka Gai,tbd,1,מתכון,62,102,צ׳ילי אדום טרי,0.5,יחידה,יחידה,1,0.5
48,טרין כבד אווז ועוף עם צ׳אטני תפוחים,,tbd,2,צ׳אטני,684,102,צ׳ילי אדום טרי,0.5,יחידה,יחידה,1,0.5
21,ספרינג רול ויאטנמי,,tbd,3,רוטב,289,102,צ׳ילי אדום טרי,1,יחידה,יחידה,1,1
22,סלט שרימפס ופומלה,,tbd,2,סלט,309,102,צ׳ילי אדום טרי,2,יחידה,יחידה,1,2
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,1,רוטב,233,103,צ׳ילי מיובש גרוס,1,קורט,אריזה,50,0.02
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,2,אסקבש escabeche,618,103,צ׳ילי מיובש גרוס,5,גרם,אריזה,50,0.1
